"Proper Winery, US",United States,"[37.09024, -95.712891]"
"Colene Clemens Winery, US","22501 NE Dopp Rd, Newberg, OR 97132, USA","[45.3792142, -123.0739452]"
"Domaine de l'Idylle Winery, France","345 Rue croix de l'Ormaie, 73800 Cruet, France","[45.52739099999999, 6.091957]"
"Domaine du Haut Bourg Winery, France","11 Rue de Nantes, 44830 Bouaye, France","[47.1438703, -1.6913982]"
"Flaherty Winery, Chile","E-85 1258, Santa Maria, Región de Valparaíso, Chile","[-32.7626748, -70.68129309999999]"
"Ottella Winery, Italy","Loc. Boschetti, 37019 San Benedetto di Lugana, Peschiera del Garda VA, Italy","[45.42435039999999, 10.6547388]"
"Perescuma Winery, Portugal","Rua Helena Cardoso, Quinta do Piloto, 2950-131 PALMELA - PORTUGAL, Portugal","[38.567262, -8.913751]"
"Pratello Winery, Italy","26, Via Pratello, 25080 Villaggio Dante Alighieri BS, Italy","[45.5087576, 10.4947701]"
"Quinta do Monte d'Oiro Winery, Portugal","Quinta Do Monte D`Oiro, Freixial De Cima, Lisboa, Portugal","[39.1078484, -9.1081453]"
"Doubleback Winery, US","3853 Powerline Rd, Walla Walla, WA 99362, USA","[46.0141228, -118.3101649]"
"Von Strasser Winery, US","965 Silverado Trail N, Calistoga, CA 94515, USA","[38.58773, -122.5749189]"
"Sirius Winery, US","407 Old U.S. 22, Kutztown, PA 19530, USA","[40.579121, -75.78075199999999]"
"Dr. Loosen & J. Christopher Winery, US","17150 NE Hillside Dr, Newberg, OR 97132, USA","[45.340652, -123.014379]"
"Markus Molitor Winery, Germany","Haus Klosterberg, 54470 Stadt Wehlen, Germany","[49.9517739, 6.998876699999999]"
"Chateau Chevalier Winery, US","3101 Spring Mountain Rd, St Helena, CA 94574, USA","[38.5143087, -122.5107336]"
"Drouet Frères Winery, France","4 Rue de la Loge, 44330 La Chapelle-Heulin, France","[47.1739145, -1.3433017]"
"Miracle Valley Winery, US","3661 Double J Ln, Delaplane, VA 20144, USA","[38.8836603, -77.92431049999999]"
"Prince Michel Winery, US","154 Winery Ln, Leon, VA 22725, USA","[38.4364894, -78.15423439999999]"
"Thacher Winery, US","8355 Vineyard Dr, Paso Robles, CA 93446, USA","[35.61317400000001, -120.844502]"
"Tower 15 Winery, US","15 Tower Ln, Edgartown, MA 02539, USA","[41.4013821, -70.5496178]"
"Montpellier Winery, US","1744 Avenue Albert Einstein, 34000 Montpellier, France","[43.6103414, 3.9200054]"
"Quinta da Maritávora Winery, Portugal","Estrada Nacional 221, km 88,6, 5180-181 Freixo de Espada À Cinta, Portugal","[41.094165, -6.819783999999999]"
"Remy-Pannier Winery, France","19 Rue Léopold Palustre, 49412 Saumur, France","[47.2713977, -0.1070052]"
"Road i Red Winery, US","Red Winery Rd, Geyserville, CA 95441, USA","[38.6852043, -122.8152154]"
"Colle Bereto Winery, Italy","Localita' Colle Bereto, Radda In Chianti, Si 53017, 53017 Radda in Chianti SI, Italy","[43.4827023, 11.3865195]"
"Vignaioli del Morellino di Scansano Winery, Italy","Località Saragiolo, 58054 Scansano GR, Italy","[42.691557, 11.325663]"
"Milliaire Winery, US","276 Main St, Murphys, CA 95247, USA","[38.137614, -120.461478]"
"Andreola Winery, Italy","Via Cavre, 19, 31010 Farra di Soligo TV, Italy","[45.88957, 12.076308]"
"Bouvet-Ladubay Winery, France","11 Rue Jean Ackerman, 49400 Saumur, France","[47.2671163, -0.102502]"
"Les Frères Couillaud Winery, France","La Grande Ragotière, 44330 La Regrippière, France","[47.1743017, -1.2049832]"
"Nino Franco Winery, Italy","Via G. Garibaldi, 147, 31049 Valdobbiadene TV, Italy","[45.897428, 11.9909]"
"Cave du Roi Dagobert Winery, France","Rue du Scharrach, 67310 Traenheim, France","[48.5924843, 7.4791295]"
"Clay Pigeon Winery, US","2025 SE 7th Ave, Portland, OR 97214, USA","[45.508245, -122.659089]"
"DanCin Winery, US","4477 S Stage Rd, Medford, OR 97501, USA","[42.304285, -122.945455]"
"De Toren Winery, South Africa","Polkadraai Rd, Stellenbosch, 7604, South Africa","[-33.9601863, 18.752165]"
"Decroux Winery, US","870 Arbor Rd, Paso Robles, CA 93446, USA","[35.6051868, -120.7168781]"
"Domaine Fernand Engel Winery, France","1 Route du Vin, 68590 Rorschwihr, France","[48.2194634, 7.3633273]"
"Forrest Winery, New Zealand","19 Blicks Rd, Renwick 7204, New Zealand","[-41.49826970000001, 173.8210147]"
"Framingham Winery, New Zealand","19 Conders Bend Rd, Renwick 7271, New Zealand","[-41.4956237, 173.8150027]"
"Henriet-Bazin Winery, France","9 Rue des Mises, 51380 Villers-Marmery, France","[49.1359067, 4.1991393]"
"Jean de la Fontaine Winery, France","12 Rue Jean de la Fontaine, 02400 Château-Thierry, France","[49.0467592, 3.3999789]"
"La Tordera Winery, Italy","Via Alnè Bosco, 23, 31020 Vidor TV, Italy","[45.863342, 12.051261]"
"Lombard et Cie Winery, France","1 Rue des Cotelles, 51200 Épernay, France","[49.0437094, 3.9467572]"
"Paix Sur Terre Winery, US","5070 Vineyard Dr, Paso Robles, CA 93446, USA","[35.5647999, -120.7828605]"
"Paskett Winery, US","11070 E Woodbridge Rd, Acampo, CA 95220, USA","[38.160824, -121.1807917]"
"Rioja Vega Winery, Spain","Ctra. Logroño, 92, 31230 Mendavia, Navarra, Spain","[42.471563, -2.3328834]"
"Roark Wine Co. Winery, US","84 Industrial Way c, Buellton, CA 93427, USA","[34.611588, -120.200469]"
"Rasa Winery, US","4122 Powerline Rd, Walla Walla, WA 99362, USA","[46.01053719999999, -118.3172504]"
"Tenuta Montanello Winery, Italy","Via Alba Monforte, 88, 12060 Castiglione Falletto CN, Italy","[44.6336333, 7.972155600000001]"
"William Fèvre Winery, France","10 Rue Jules Rathier, 89800 Chablis, France","[47.8131129, 3.8005341]"
"Valdez Winery, US","595 Santana Dr suite d, Cloverdale, CA 95425, USA","[38.78796699999999, -123.004637]"
"Vigne Surrau Winery, Italy","Località Chilvagghja, 07021 Porto Cervo OT, Italy","[41.06602590000001, 9.437331]"
"Luigi Oddero & Figli Winery, Italy","Frazione S. Maria, 28, 12064 La Morra CN, Italy","[44.6494425, 7.9430166]"
"Albert Bichot Winery, France","6 Boulevard Jacques Copeau, 21200 Beaune, France","[47.0250364, 4.8439377]"
"Albino Rocca Winery, Italy","Str. Ronchi, 18, 12050 Barbaresco CN, Italy","[44.72156349999999, 8.085972]"
"Baxter Winery, US","2010 Parley St, Nauvoo, IL 62354, USA","[40.5424683, -91.37080859999999]"
"Beauregard Winery, US","10 Pine Flat Rd, Santa Cruz, CA 95060, USA","[37.0421539, -122.1503829]"
"Bodega Renacer Winery, Argentina","Brandsen 1863, 5507 Luján de Cuyo, Mendoza, Argentina","[-33.0638541, -68.9059425]"
"John Duval Wines, Australia","352 Magnolia Rd, Vine Vale SA 5352, Australia","[-34.5246859, 139.0001756]"
"Famiglia Cielo Winery, Italy","Via 4 Novembre, 39, 36050 Montorso Vicentino VI, Italy","[45.4947983, 11.3626636]"
"Fleur Du Cap Winery, South Africa","George Blake St, Stellenbosch Central, Stellenbosch, 7600, South Africa","[-33.934263, 18.851734]"
"Tikal Winery, Argentina","Vista Flores, Mendoza, Argentina","[-33.6664409, -69.167186]"
"Domaine de Grange Neuve Winery, France","Chemin de Grange Neuve, 24240 Pomport, France","[44.7942466, 0.4018271]"
"Ironstone Winery, US","Ironstone Vineyards, 1894 6 Mile Rd, Murphys, CA 95247, USA","[38.120867, -120.467255]"
"Ngumu Winery, South Africa","Uitkyk Street, Franschhoek Valley, Winelands, South Africa, 7690, South Africa","[-33.8964988, 19.1293144]"
"Valdo Winery, Italy","Foro Boario, 20, 31049 Valdobbiadene TV, Italy","[45.8989216, 11.9935099]"
"Zorzal Winery, Argentina","Mendoza Province, Argentina","[-33.4212693, -69.2527485]"
"Adega de Cantanhede Winery, Portugal","R. Eng. Amaro da Costa 117, 3060-170 Cantanhede, Portugal","[40.3584318, -8.596546199999999]"
"Angeline Winery, US","2191 Laguna Rd, Santa Rosa, CA 95401, USA","[38.4687308, -122.8507472]"
"Indaba Winery, South Africa","Penthouse, 16 W 36th St, New York, NY 10018, USA","[40.7499644, -73.98477059999999]"
"Château de Pennautier Winery, France","2 Boulevard Pasteur, 11610 Pennautier, France","[43.2437919, 2.3177817]"
"Corte Cariano Winery, Italy","Via Cariano, 10, 37029 San Pietro in Cariano VR, Italy","[45.516977, 10.874015]"
"Hafner Winery, Austria","Halbturnerstraße 17, 7123 Mönchhof, Austria","[47.881894, 16.9467576]"
"Olivini Winery, Italy","Località Demesse Vecchie, 2, 25015 Desenzano del Garda BS, Italy","[45.444219, 10.613651]"
"Olson Ogden Winery, US","Ogden, UT, USA","[41.223, -111.9738304]"
"Sausal Winery, US","7370 CA-128, Healdsburg, CA 95448, USA","[38.6687416, -122.8092722]"
"Stone Paddock Winery, New Zealand","2112 Maraekakaho Rd, Flaxmere, Raukawa 4171, New Zealand","[-39.647941, 176.708725]"
"Blue Cove Winery, South Africa","R43, Bot River Lagoon, Walker Bay, Hermanus, 7200, South Africa","[-34.345893, 19.137862]"
"Cairnbrae Winery, New Zealand","Cairnbrae, Lauriston 7782, New Zealand","[-43.6660266, 171.6849399]"
"Fortant Winery, France","9 Quai Paul Riquet, 34200 Sète, France","[43.41049599999999, 3.702894]"
"Silver Lake Winery, US","1500 Vintage Rd, Zillah, WA 98953, USA","[46.4537857, -120.2434141]"
"Château Ducru Beaucaillou Winery, France","Chateau Ducru-Beaucaillou, 33250 Saint-Julien-Beychevelle, France","[45.150911, -0.734644]"
"Domaine de Chevalier Winery, France","102 Chemin de Mignoy, 33850 Léognan, France","[44.720384, -0.6229802999999999]"
"Le Dôme Winery, France","33330 Vignonet, France","[44.8529627, -0.1575816]"
"Numanthia Winery, Spain","Real, s/n, 49882 Valdefinjas, Zamora, Spain","[41.4515284, -5.4563748]"
"Larmandier-Bernier Winery, France","19 Avenue du Général de Gaulle, 51130 Vertus, France","[48.89751, 4.011526]"
"Château Bélair-Monange Winery, France","La Madeleine, 33330 Saint-Émilion, France","[44.888721, -0.161494]"
"Château Haut-Bailly Winery, France","103 Avenue de Cadaujac, 33850 Léognan, France","[44.7332821, -0.5809653]"
"Vieux Château Mazerat Winery, France","Mazerat, 33330 Saint-Émilion, France","[44.89326500000001, -0.171504]"
"Tarlant Winery, France","21 Rue de la Coopérative, 51480 Œuilly, France","[49.0715945, 3.7936436]"
"Villa Spinosa Winery, Italy","Via Colle Masua, 14, 37024 Negrar VR, Italy","[45.5305599, 10.9300769]"
"Pascal Bouchard Winery, France","3 Rue du Pressoir, 89800 Chablis, France","[47.8162049, 3.7833953]"
"Sleight of Hand Winery, US","1959 J B George Rd, Walla Walla, WA 99362, USA","[46.004211, -118.380784]"
"Del Dotto Winery, US","1055 Atlas Peak Rd, Napa, CA 94558, USA","[38.339618, -122.26312]"
"Domaine Heresztyn Winery, France","27 Rue Richebourg, 21220 Gevrey-Chambertin, France","[47.2259336, 4.9707612]"
"Domaine Vincent Girardin Winery, France","Z.A. les Champs Lins, 21190 Meursault, France","[46.9701337, 4.7978282]"
"D.G. Viticultors Winery, Spain","Carrer el Raval, 87, 08737 Torrelles de Foix, Barcelona, Spain","[41.3883146, 1.5687229]"
"Inniskillin Winery, Canada","1499 Line 3, Niagara-on-the-Lake, ON L0S 1J0, Canada","[43.2105755, -79.06395789999999]"
"Le Salette Winery, Italy","Via Pio Brugnoli, 11, 37022 Fumane VR, Italy","[45.5432029, 10.883969]"
"Rubinelli Vajol Winery, Italy","VIA PALADON 31, SAN PIETRO INCARIANO, 37029 San Pietro In Cariano VR, Italy","[45.521864, 10.896849]"
"Alpha Omega Winery, US","1155 Mee Ln, St Helena, CA 94574, USA","[38.4705541, -122.4289289]"
"Brunelli Winery, Italy","Via Cariano, 10, 37029 San Pietro In Cariano VR, Italy","[45.5167148, 10.8741796]"
"Del Bondio Winery, US","1315 Bella Oaks Ln, Rutherford, CA 94573, USA","[38.4474636, -122.4181133]"
"Château Bianca Winery, US","17485 OR-22, Dallas, OR 97338, USA","[45.0084325, -123.3889832]"
"Quinta do Romeu Winery, Portugal","5370 Romeu, Portugal","[41.5301567, -7.08003]"
"Sonoma Collection Winery, US","100 Pythian Rd, Santa Rosa, CA 95409, USA","[38.436705, -122.576548]"
"Marques Escriba Winery, Spain","Valle Hoya de Torres s/n, 30520 Jumilla, Murcia, Spain","[38.58021, -1.266145]"
"Bodegas Lozano Winery, Spain","Av. de los Reyes Católicos, 156, 02600 Villarobledo, Albacete, Spain","[39.281138, -2.588041]"
"Quara Winery, Argentina","Cafayate, Salta Province, Argentina","[-26.0887852, -65.9759025]"
"Roncão Winery, Portugal","Vila Seca de Poiares, 5050-343 Poiares PRG, Portugal","[41.198797, -7.704892]"
"Hacienda del Carche Winery, Spain","km 11.5, MU-15-A, 30520 Jumilla, Murcia, Spain","[38.4809324, -1.1766221]"
"Josep Grau Viticultor Winery, Spain","Polígono 7, parcela 27, 43775 Marçà, Tarragona, Spain","[41.132355, 0.8242851]"
"Altos de Torona Winery, Spain","Carretera de Tui a la Guardia, 45, 36760 As Eiras, O Rosal, Pontevedra, Spain","[41.939759, -8.785178]"
"Domaine Patrick Javillier Winery, France","7 Impasse des Acacias, 21190 Meursault, France","[46.9887996, 4.769758899999999]"
"Lupé-Cholet Winery, France","17 Rue du Général de Gaulle, 21700 Nuits-Saint-Georges, France","[47.1337915, 4.9485526]"
"2 Lads Winery, US","16985 Smokey Hollow Rd, Traverse City, MI 49686, USA","[44.934957, -85.49338399999999]"
"Mount Pleasant Winery, US","5634 High St, Augusta, MO 63332, USA","[38.570493, -90.885571]"
"Vivác Winery, US","2075 Hwy 68, Dixon, NM 87527, USA","[36.21120130000001, -105.9100825]"
"Truro Winery, US","11 Shore Rd, North Truro, MA 02652, USA","[42.02988360000001, -70.07787669999999]"
"Bodegas Navarro López Winery, Spain","Autovía A - 4, km. 193, 13300 Valdepeñas, Cdad. Real, Spain","[38.8324055, -3.3915928]"
"Jaume Serra Winery, Spain","Ctra.Vilanova i la Geltrú a Vilafranca del Penedés, km 2,5, 08800 Vilanova i la Geltrú, Barcelona, Spain","[41.248979, 1.708064]"
"Domaine Verret et Fils Winery, France","14 Route de Champs, 89530 Saint-Bris-le-Vineux, France","[47.7424974, 3.6482896]"
"Debonné Winery, US","7840 Doty Rd, Madison, OH 44057, USA","[41.739385, -81.006671]"
"Thirsty Owl Wine Company Winery, US","6799 Elm Beach Rd, Ovid, NY 14521, USA","[42.6930937, -76.74122799999999]"
"Flying Leap Winery, US","342 Elgin Rd, Elgin, AZ 85611, USA","[31.659015, -110.548391]"
"Barnstormer Winery, US","4184 NY-14, Rock Stream, NY 14878, USA","[42.435741, -76.906973]"
"Falernia Winery, Chile","Vicuña, Coquimbo Region, Chile","[-30.0291286, -70.804406]"
"Adirondack Winery, US","285 Canada St, Lake George, NY 12845, USA","[43.4258683, -73.71287439999999]"
"Bowers Harbor Winery, US","2896 Bowers Harbor Rd, Traverse City, MI 49686, USA","[44.8916826, -85.51725750000001]"
"Intipalka Winery, Peru",Peru,"[-9.189967, -75.015152]"
"Lobster Reef Winery, New Zealand","Level 11/92 Albert Street, Auckland 1024, New Zealand","[-36.8481993, 174.7638821]"
"Lookout Ridge Winery, US","Ridge Rd, Aquinnah, MA 02535, USA","[41.343477, -70.7937637]"
"Olivier Leflaive Winery, France","Place du Monument, 21190 Puligny-Montrachet, France","[46.946394, 4.753922999999999]"
"Xavier Monnot Winery, France","6 Rue du Dr Rolland, 21190 Meursault, France","[46.977418, 4.769210999999999]"
"Fielding Hills Winery, US","565 S Lakeshore Rd, Chelan, WA 98816, USA","[47.842672, -120.0981341]"
"Royal Tokaji Winery, Hungary","Mád, Rákóczi u. 35, 3909 Hungary","[48.1930918, 21.2779801]"
"Sheridan Vineyard, US","2861 US-20, Sheridan, NY 14135, USA","[42.4829337, -79.2466087]"
"Lost Canyon Winery, US","Lost Canyon, San Antonio, TX 78258, USA","[29.6115425, -98.503956]"
"Roberts & Rogers Winery, US","8060 US-190, Rogers, TX 76569, USA","[30.99461, -97.2844397]"
"Villa Cerna Winery, Italy","Località Casina dei Ponti, 57, 53011 Castellina In Chianti SI, Italy","[43.4193668, 11.2188617]"
"Gagliole Winery, Italy","Località Gagliole, 42, 53011 Castellina in Chianti SI, Italy","[43.459359, 11.254527]"
"Guilbaud Frères Winery, France","Le Beau Soleil, 44190 Gorges, France","[47.10729509999999, -1.3031555]"
"Casa alle Vacche Winery, Italy","Località Lucignano, 73/a, 53037 San Gimignano FI, Italy","[43.5086345, 11.0143975]"
"Castello Vicchiomaggio Winery, Italy","Località Vicchio, 4, 50022 Greve in Chianti FI, Italy","[43.609711, 11.285637]"
"D'Argenzio Winery, US","1301 Cleveland Ave Ste A, Santa Rosa, CA 95401, USA","[38.449053, -122.727474]"
"Domaine du Clos du Fief Winery, France","Les Gonnards Rue du gamay, 69840 Juliénas, France","[46.233482, 4.715019]"
"Domaine Philippe Delesvaux Winery, France","Les Essarts, 49190 Saint-Aubin-de-Luigné, France","[47.3419269, -0.6885576999999999]"
"Vagnoni Winery, Italy","82, Localita' Pancole, San Gimignano, Si, 53037 San Gimignano SI, Italy","[43.504249, 11.003236]"
"Valle Frio Winery, Chile","San Clemente, Maule Region, Chile","[-35.4812131, -71.5293442]"
"Le Solive Winery, Italy","Via Calvarole, 15, 25040 Corte Franca BS, Italy","[45.6212354, 9.988379799999999]"
"Mount Nelson Winery, New Zealand","Nelson, New Zealand","[-41.2706319, 173.2839653]"
"Sbragia Winery, US","9990 Dry Creek Rd, Geyserville, CA 95441, USA","[38.7204495, -122.9936779]"
"Seven Terraces Winery, New Zealand","5/3 Ruru St, Eden Terrace, Auckland 1021, New Zealand","[-36.8666605, 174.75779]"
"Kellerei Kaltern Caldaro Winery, Italy","Via delle Cantine, 12, 39052 Caldaro BZ, Italy","[46.420594, 11.252041]"
"Monte delle Vigne Winery, Italy","Str. Monticello, 22, 43046 Ozzano Taro, Collecchio PR, Italy","[44.7007181, 10.145513]"
"Pfendler Winery, US","750 Sonoma Mountain Rd, Petaluma, CA 94954, USA","[38.323276, -122.589912]"
"Podere Guado al Melo Winery, Italy","Località Murrotto, 130/A, 57022 Castagneto Carducci LI, Italy","[43.19306, 10.624739]"
"Season Winery, US","West Seasons Drive, Vineyard, UT 84058, USA","[40.3080418, -111.7554305]"
"Stonestreet Winery, US","7111 Highway 128, Healdsburg, CA 95448, USA","[38.6624821, -122.8173529]"
"Storyteller Winery, US","5511 SW Hood Ave, Portland, OR 97239, USA","[45.48366770000001, -122.6750246]"
"Sutcliffe Winery, US","12174 County Road G, Cortez, CO 81321, USA","[37.3386866, -108.8232386]"
"Altavins Winery, Spain","Ctra. Vilalba dels Arcs, s/n, 43786 Batea, Tarragona, Spain","[41.09095800000001, 0.3201167]"
"Tenuta Olim Bauda Winery, Italy","Via Prata, 50, 14045 Incisa Scapaccino AT, Italy","[44.7885637, 8.3735292]"
"Husch Winery, US","4400 CA-128, Philo, CA 95466, USA","[39.1072827, -123.5019654]"
"Cava Aragon Winery, Mexico","El Sauzal, 22760 El Sauzal, Baja California, Mexico","[31.90639639999999, -116.6982026]"
"Chiarello Family Vineyards, US","6525 Washington St A-2, Yountville, CA 94599, USA","[38.4020404, -122.36243]"
"Coppo Winery, Italy","Via Alba, 68, 14053 Canelli AT, Italy","[44.7203498, 8.2814286]"
"Pegasus Bay Winery, New Zealand","Stockgrove Rd, Glasnevin 7482, New Zealand","[-43.092035, 172.7683028]"
"Hopper Creek Winery, US","6204 Washington St, Napa, CA 94558, USA","[38.3878717, -122.3496771]"
"David Arthur Winery, US","210 Long Ranch Rd, St Helena, CA 94574, USA","[38.472137, -122.358856]"
"Domaine de la Mordorée Winery, France","250 Chemin des Oliviers, 30126 Tavel, France","[44.011567, 4.705892]"
"Sticks Winery, Australia","179 Glenview Rd, Yarra Glen VIC 3775, Australia","[-37.659585, 145.355976]"
"Te Awa Winery, New Zealand","2375 State Highway 50, Hastings 4201, New Zealand","[-39.6144166, 176.7363739]"
"Sula Winery, India","Gat 36/2, Govardhan Village, Off Gangapur-Savargaon Road, Nashik, Maharashtra 422222, India","[20.0068729, 73.68849999999999]"
